Model,Cohort,Split,repeat,Experiment,n,MCC,Brier,NLL,MCC eligible
MAP gate,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset11,64,,0.23451567638348297,0.7139006216356139,False
MAP gate,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset12,64,,0.00017273459567094312,0.005675158714908948,False
MAP gate,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset17,27,0.6933752452815364,3.429257313577586e-08,4.1439253703203974e-05,True
MAP gate,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset2,12,,0.023268684456678606,0.1149357942450978,False
MAP gate,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset4,12,,2.5581289136104322e-05,0.002078639184547149,False
No hierarchy,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset15,64,0.0,0.13499910051589276,0.438656089502534,True
No hierarchy,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset16,64,,0.0005807509849799597,0.024053489190320833,False
No hierarchy,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset6,64,,0.00475511556203783,0.03885043810118455,False
No hierarchy,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset14,64,0.30637776382712506,0.2038634051728579,0.6730363193091569,True
No hierarchy,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset18,64,,0.0005366156457778285,0.023020424498972375,False
No hierarchy,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset8,64,,0.00030294622764704315,0.017539315099046347,False
No hierarchy,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset11,64,,0.08094536222004298,0.26554263984461385,False
No hierarchy,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset12,64,,0.00010375337317329169,0.005093881015985157,False
No hierarchy,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset17,27,1.0,7.054162115749769e-05,0.0021327920825565355,True
No hierarchy,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset2,12,,0.14673032467506164,0.4711867860152936,False
No hierarchy,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset4,12,,0.02289958082939328,0.11054705196072033,False
