Model,Cohort,Split,repeat,n,MCC,PR-AUC,Macro-F1,AUROC,Precision,Recall,Specificity,FPR,FNR,Balanced Accuracy,Brier,NLL,ECE,Calibration intercept,Calibration slope,Worst-group MCC,Worst-group Brier,Worst-group NLL,Group MCC SD,Eligible MCC groups
Random Forest,Notebook03 nested-threshold,Development OOF,4,563,0.44391801294569944,0.37472198350246455,0.7158417453598176,0.7355432348479376,0.5088757396449705,0.6771653543307087,0.8096330275229358,0.19036697247706422,0.3228346456692913,0.7433991909268223,0.21492192789292633,1.66759833964774,0.2365457668196797,-1.2229050846006448,0.11560220387694321,0.0,0.9997807485158385,10.272042356278405,0.17684942794538258,3
Random Forest,Notebook03 nested-threshold,Development OOF,5,563,0.2907084106463198,0.32542162584857814,0.5271152317201405,0.7097811168099399,0.3150684931506849,0.905511811023622,0.42660550458715596,0.573394495412844,0.09448818897637795,0.666058657805389,0.28706616159656884,1.7185360524485875,0.272419755000731,-1.3777743809741947,0.09516254226729318,0.0,0.9994479070950437,9.602932336361548,0.3086066999241839,3
Extra Trees,Notebook03 nested-threshold,Development OOF,1,563,0.5613261206694162,0.4096522871077598,0.7486680717777583,0.8133894387054829,0.5110132158590308,0.9133858267716536,0.7454128440366973,0.2545871559633027,0.08661417322834646,0.8293993354041754,0.19895647102752886,0.5996296881658207,0.22445382274425169,-0.7583612877513914,0.3171800312282534,0.0,0.7559707560443407,2.371643608677908,0.3326318833615706,3
Extra Trees,Notebook03 nested-threshold,Development OOF,2,563,0.5655387511611215,0.6810250965502073,0.7555308133385292,0.8676226251535072,0.5229357798165137,0.8976377952755905,0.7614678899082569,0.23853211009174313,0.10236220472440945,0.8295528425919236,0.12101983654500309,0.3830935326234248,0.1502659557484261,-0.28963777134728314,0.7931709124870231,0.0,0.9134122738367956,3.2558518352593206,0.0,3
Extra Trees,Notebook03 nested-threshold,Development OOF,3,563,0.2178565194868224,0.3095910809059032,0.5133179438532193,0.6948096510871921,0.2976878612716763,0.8110236220472441,0.4426605504587156,0.5573394495412844,0.1889763779527559,0.6268420862529799,0.23818871300539457,0.7915961768581762,0.23202141497715634,-0.9395077526750663,0.1635557454833602,0.0,0.9910177817703517,5.693379298634889,0.3086066999241839,3
Extra Trees,Notebook03 nested-threshold,Development OOF,4,563,0.47364239946522907,0.6956816964860272,0.7323403322956845,0.8740428375352164,0.5370370370370371,0.6850393700787402,0.8279816513761468,0.1720183486238532,0.31496062992125984,0.7565105107274435,0.15155499121806254,0.4804569558794232,0.15076386574460124,-0.47304337390450096,0.42506354116506545,0.0,0.9706013173523348,4.62989950500055,0.1901991340524852,3
Extra Trees,Notebook03 nested-threshold,Development OOF,5,563,0.4221834017225395,0.577015810801644,0.6694607135783606,0.7925666401791519,0.42231075697211157,0.8346456692913385,0.6674311926605505,0.33256880733944955,0.16535433070866143,0.7510384309759446,0.17423296715627298,0.5591346158065345,0.17193795856880084,-0.8424520480055802,0.38352351126967343,0.0,0.9799084720799455,5.386981345447709,0.15713484026367722,3
HistGradientBoosting,Notebook03 nested-threshold,Development OOF,1,563,0.4231036253631625,0.6868165677356113,0.662639353400223,0.8469713934840715,0.4144486692015209,0.8582677165354331,0.6467889908256881,0.3532110091743119,0.14173228346456693,0.7525283536805606,0.20812454726852467,0.7820999747142362,0.22824167132055895,-1.5648878501132382,0.3361114634614914,0.0,0.5387910259538345,2.6603003161434,0.2721655269759087,3
HistGradientBoosting,Notebook03 nested-threshold,Development OOF,2,563,0.49072804217623844,0.5224067686959977,0.6718417816411448,0.7861915769703098,0.4217687074829932,0.9763779527559056,0.6100917431192661,0.38990825688073394,0.023622047244094488,0.7932348479375858,0.15515335030069946,0.47334828796742834,0.10941836913585427,0.8528930847280705,1.30698637294438,0.0,0.5456545278167818,1.4642610043010778,0.14589603651080288,3
HistGradientBoosting,Notebook03 nested-threshold,Development OOF,3,563,-0.22789476822884663,0.2221594716043831,0.33335834162412536,0.4371162320306292,0.1467065868263473,0.3858267716535433,0.3463302752293578,0.6536697247706422,0.6141732283464567,0.36607852344145053,0.24943192144524695,1.0947185891564288,0.2561724844622594,-1.2190335414931284,0.06079411176233417,0.0,0.9894570240450937,5.893023733997076,0.28613169175965075,3
HistGradientBoosting,Notebook03 nested-threshold,Development OOF,4,563,0.4148184835369797,0.4174539934756062,0.5982745199792423,0.7773062197500542,0.36443148688046645,0.984251968503937,0.5,0.5,0.015748031496062992,0.7421259842519685,0.2509278141214472,1.4270592682287209,0.246945587676679,-1.4450638129564293,0.16419822033459003,0.0,0.9994681721556973,8.319970591759168,0.0,3
HistGradientBoosting,Notebook03 nested-threshold,Development OOF,5,563,0.43674920694954644,0.4387635193914085,0.6499608033952369,0.7901466445134724,0.4020618556701031,0.9212598425196851,0.6009174311926605,0.39908256880733944,0.07874015748031496,0.7610886368561728,0.21774562449880505,0.7735268857054646,0.19423707180564292,-1.2258254335361025,0.30691832856619483,-0.1384091330895666,0.9233621441125685,3.610667745340604,0.38653005208457486,3
XGBoost,Notebook03 nested-threshold,Development OOF,1,563,0.5806976070284864,0.7127305013216142,0.7871079963698699,0.8882377374846493,0.6193548387096774,0.7559055118110236,0.8646788990825688,0.1353211009174312,0.2440944881889764,0.8102922054467963,0.11937440970240293,0.3667818481650437,0.1273253911335999,-0.6074447601681154,1.1723098830524061,0.0,0.3054317626150007,0.8270266344903111,0.17025130615174974,3
XGBoost,Notebook03 nested-threshold,Development OOF,2,563,0.21950982138062108,0.5106928088153955,0.5835073977371628,0.7663349707433358,0.33476394849785407,0.6141732283464567,0.6444954128440367,0.3555045871559633,0.3858267716535433,0.6293343205952466,0.15823756133184136,0.4806734243464868,0.09929286814051258,-0.03929306254864008,0.9202846742716634,0.0,0.531889370536583,1.348917422671152,0.0,3
XGBoost,Notebook03 nested-threshold,Development OOF,3,563,0.19111625126984733,0.374758617748505,0.5955459770114943,0.5935581160153146,0.37209302325581395,0.3779527559055118,0.8142201834862385,0.18577981651376146,0.6220472440944882,0.5960864696958752,0.20603612744801636,0.6006044076037854,0.11735573606346679,-0.9648969124237333,0.357516347805882,0.0,0.6290337161953432,1.6355393927855033,0.0,3
XGBoost,Notebook03 nested-threshold,Development OOF,4,563,0.37261917270075934,0.42049930197673774,0.5857706531930409,0.7347666690746225,0.35311572700296734,0.937007874015748,0.5,0.5,0.06299212598425197,0.7185039370078741,0.2429754487425877,0.7338200958731129,0.22316130189602207,-1.1979623829594677,0.38976552560024674,0.0,0.8809298736067884,2.8176090735251034,0.0,3
XGBoost,Notebook03 nested-threshold,Development OOF,5,563,0.43234580110949034,0.38376161430417827,0.6912553727582629,0.7494582099255942,0.4520547945205479,0.7795275590551181,0.7247706422018348,0.27522935779816515,0.2204724409448819,0.7521491006284764,0.22601739761348927,1.0095650738625364,0.23938945599277112,-1.266185143031689,0.24501151827518472,0.0,0.9833738236931977,5.242598935210893,0.1901991340524852,3
